stFips,Year,Total_CC,FDH,Other_CC,state_name,state
20,2001,43,57,0,Kansas,KS
20,2002,46,61,0,Kansas,KS
20,2003,48,78,0,Kansas,KS
20,2004,50,92,0,Kansas,KS
20,2005,52,103,0,Kansas,KS
20,2006,54,120,0,Kansas,KS
20,2007,59,139,0,Kansas,KS
20,2008,61,150,0,Kansas,KS
20,2009,62,173,0,Kansas,KS
20,2010,66,188,0,Kansas,KS
20,2011,70,220,0,Kansas,KS
20,2012,77,263,0,Kansas,KS
20,2013,85,311,0,Kansas,KS
20,2014,90,342,0,Kansas,KS
20,2015,90,384,0,Kansas,KS
20,2016,90,432,0,Kansas,KS
20,2017,89,456,0,Kansas,KS
20,2018,90,457,0,Kansas,KS
20,2019,92,501,0,Kansas,KS
20,2020,97,531,0,Kansas,KS
20,2021,101,539,0,Kansas,KS
20,2022,95,580,0,Kansas,KS
20,2023,96,565,0,Kansas,KS
21,2003,0,1,0,Kentucky,KY
21,2004,0,1,0,Kentucky,KY
21,2005,0,1,0,Kentucky,KY
21,2017,0,1,0,Kentucky,KY
21,2018,0,1,0,Kentucky,KY
21,2019,0,1,0,Kentucky,KY
21,2020,0,1,0,Kentucky,KY
21,2021,0,1,0,Kentucky,KY
21,2022,0,1,0,Kentucky,KY
21,2023,0,1,0,Kentucky,KY
22,2000,2012,9177,152,Louisiana,LA
22,2001,2052,7464,153,Louisiana,LA
22,2002,2055,6704,156,Louisiana,LA
22,2003,2085,7732,166,Louisiana,LA
22,2004,2144,8477,173,Louisiana,LA
22,2005,2129,8367,169,Louisiana,LA
22,2006,1968,5349,163,Louisiana,LA
22,2007,1937,5416,111,Louisiana,LA
22,2008,1969,3532,107,Louisiana,LA
22,2009,2005,3386,125,Louisiana,LA
22,2010,1985,2999,131,Louisiana,LA
22,2011,1947,2260,128,Louisiana,LA
22,2012,1803,1683,130,Louisiana,LA
22,2013,1707,1080,101,Louisiana,LA
22,2014,1609,936,71,Louisiana,LA
22,2015,1504,715,73,Louisiana,LA
22,2016,1359,591,62,Louisiana,LA
22,2017,1294,379,51,Louisiana,LA
22,2018,1231,163,38,Louisiana,LA
22,2019,1179,62,34,Louisiana,LA
22,2020,1106,181,30,Louisiana,LA
22,2021,1056,277,28,Louisiana,LA
22,2022,1307,321,11,Louisiana,LA
22,2023,1317,271,11,Louisiana,LA
23,2000,582,1352,0,Maine,ME
23,2001,877,1993,0,Maine,ME
23,2002,957,2042,0,Maine,ME
23,2003,975,2040,0,Maine,ME
23,2004,970,2002,0,Maine,ME
23,2005,970,2019,0,Maine,ME
23,2006,982,2004,0,Maine,ME
23,2007,972,1943,0,Maine,ME
23,2008,987,1860,0,Maine,ME
23,2009,971,1748,0,Maine,ME
23,2010,978,1653,0,Maine,ME
23,2011,953,1544,0,Maine,ME
23,2012,913,1516,0,Maine,ME
23,2013,924,1414,0,Maine,ME
23,2014,913,1372,0,Maine,ME
23,2015,927,1317,0,Maine,ME
23,2016,914,1270,0,Maine,ME
23,2017,900,1194,0,Maine,ME
23,2018,928,1157,0,Maine,ME
23,2019,954,1091,0,Maine,ME
23,2020,946,1046,0,Maine,ME
23,2021,948,966,0,Maine,ME
23,2022,946,900,0,Maine,ME
23,2023,933,800,0,Maine,ME
24,2000,1962,5712,0,Maryland,MD
24,2001,2158,6589,0,Maryland,MD
24,2002,2360,7753,0,Maryland,MD
24,2003,2553,9237,0,Maryland,MD
24,2004,2727,10737,0,Maryland,MD
24,2005,2852,10973,0,Maryland,MD
24,2006,2856,10680,0,Maryland,MD
24,2007,2932,10517,0,Maryland,MD
24,2008,2951,10342,0,Maryland,MD
24,2009,2977,10014,0,Maryland,MD
24,2010,2963,9580,0,Maryland,MD
24,2011,2968,9036,0,Maryland,MD
24,2012,2958,8681,0,Maryland,MD
24,2013,2914,8302,0,Maryland,MD
24,2014,2902,8025,0,Maryland,MD
24,2015,2930,7662,0,Maryland,MD
24,2016,2910,7186,0,Maryland,MD
24,2017,2872,6710,0,Maryland,MD
24,2018,2890,6314,0,Maryland,MD
24,2019,2865,5958,0,Maryland,MD
24,2020,2831,5523,0,Maryland,MD
24,2021,2833,5228,0,Maryland,MD
24,2022,2776,4961,0,Maryland,MD
24,2023,2663,4442,0,Maryland,MD
25,2000,3403,11123,0,Massachusetts,MA
25,2001,3404,11372,0,Massachusetts,MA
25,2002,3439,11870,0,Massachusetts,MA
25,2003,3468,11551,0,Massachusetts,MA
25,2004,3522,11206,0,Massachusetts,MA
25,2005,3497,10907,0,Massachusetts,MA
25,2006,3471,10561,0,Massachusetts,MA
25,2007,3450,10251,0,Massachusetts,MA
25,2008,3469,10056,0,Massachusetts,MA
25,2009,3455,9875,0,Massachusetts,MA
25,2010,3446,9601,0,Massachusetts,MA
25,2011,3305,9323,0,Massachusetts,MA
25,2012,3132,8899,0,Massachusetts,MA
25,2013,3101,8265,0,Massachusetts,MA
25,2014,3042,7837,0,Massachusetts,MA
25,2015,3043,7377,0,Massachusetts,MA
25,2016,3017,6947,0,Massachusetts,MA
25,2017,3037,6679,0,Massachusetts,MA
25,2018,3060,6390,0,Massachusetts,MA
25,2019,3131,6054,6,Massachusetts,MA
25,2020,3146,5573,28,Massachusetts,MA
25,2021,3075,5290,29,Massachusetts,MA
25,2022,3015,5208,32,Massachusetts,MA
25,2023,2878,5137,25,Massachusetts,MA
25,2024,27,0,0,Massachusetts,MA
26,2000,673,3194,0,Michigan,MI
26,2001,1017,5636,0,Michigan,MI
26,2002,1187,7547,0,Michigan,MI
26,2003,1352,9184,0,Michigan,MI
26,2004,1524,10086,0,Michigan,MI
26,2005,1733,10438,0,Michigan,MI
26,2006,1865,9435,0,Michigan,MI
26,2007,1852,8511,0,Michigan,MI
26,2008,1926,7528,0,Michigan,MI
26,2009,1892,6604,0,Michigan,MI
